Specie,Recording,start_segment,End Time (s),f_min,f_max,Start of the next vocalization (s),length_segment,intersyllable_gap
Accipiter_bicolor,XC13535,1.5316,6.193,334.586,6256.757,22.6287,4.6614,16.4357
Accipiter_bicolor,XC114956,2.179,4.3216,1805.263,4964.474,4.939,2.1426,0.6174
Accipiter_bicolor,XC1009075,3.9963,4.045,523.442,11254.006,5.2454,0.0487,1.2004
Accipiter_bicolor,XC1009503,3.9367,5.1566,1454.912,11833.284,17.281,1.2199,12.1244
Accipiter_bicolor,XC1063563,2.4877,6.0602,398.136,16423.125,10.9041,3.5725,4.8439
Accipiter_poliogaster,XC240800,5.1126,6.2669,2820.121,11660.601,14.6039,1.1543,8.337
Accipiter_poliogaster,XC163384,2.7315,4.4173,1854.962,10177.222,16.1755,1.6858,11.7582
Accipiter_poliogaster,XC163664,1.7308,3.4235,1789.565,13230.0,7.1652,1.6927,3.7417
Accipiter_poliogaster,XC109377,0.7719,1.7643,2637.209,7325.581,2.7126,0.9924,0.9483
Accipiter_poliogaster,XC111690,2.3615,3.661,837.342,3977.373,16.0412,1.2995,12.3802
Accipiter_striatus,XC141871,3.6794,4.816,1475.701,4451.698,15.3002,1.1366,10.4842
Accipiter_striatus,XC146994,2.0842,2.2176,3489.231,9256.154,10.1001,0.1334,7.8825
Accipiter_striatus,XC278831,5.1209,5.8175,2023.576,7745.411,11.955,0.6966,6.1375
Accipiter_striatus,XC285551,1.5207,3.0413,1252.05,13702.997,18.2771,1.5206,15.2358
Accipiter_striatus,XC1014685,2.6454,5.4937,2102.548,14817.954,13.5698,2.8483,8.0761
Accipiter_superciliosus,XC264367,2.1059,3.6624,2093.769,5561.573,7.7738,1.5565,4.1114
Accipiter_superciliosus,XC218143,0.4187,3.7943,2281.034,14446.552,5.9476,3.3756,2.1533
Accipiter_superciliosus,XC21092,0.2501,1.0275,1791.562,6546.094,2.2724,0.7774,1.2449
Accipiter_superciliosus,XC113634,0.7264,3.2788,2469.136,3061.728,10.0525,2.5524,6.7737
Accipiter_superciliosus,XC187778,2.2847,10.4484,1812.329,10692.74,45.5846,8.1637,35.1362
Actitis_macularius,XC1001183,3.47,4.5665,2216.561,5885.35,5.3307,1.0965,0.7642
Actitis_macularius,XC1007568,0.6412,0.6748,4095.563,4587.031,1.2543,0.0336,0.5795
Actitis_macularius,XC1007571,0.5468,0.5852,3674.267,4534.202,1.6084,0.0384,1.0232
Actitis_macularius,XC1007577,2.7024,2.7609,3798.561,4618.705,3.1854,0.0585,0.4245
Actitis_macularius,XC1007580,0.7139,0.776,4155.34,4912.621,1.3471,0.0621,0.5711
Aegolius_harrisii,XC1645,0.5506,1.5313,989.026,2167.131,6.4521,0.9807,4.9208
Aegolius_harrisii,XC10624,3.1058,3.1432,1721.203,2244.541,5.3037,0.0374,2.1605
Aegolius_harrisii,XC16472,0.1644,5.6754,888.582,2517.649,7.7896,5.511,2.1142
Aegolius_harrisii,XC132315,0.3142,10.1216,848.077,1356.923,14.9084,9.8074,4.7868
Aegolius_harrisii,XC148665,3.0933,7.2307,964.009,1167.672,17.2841,4.1374,10.0534
Agamia_agami,XC257327,2.7028,3.053,215.802,5637.831,10.7887,0.3502,7.7357
Agamia_agami,XC257326,2.033,2.3453,167.045,1937.727,3.1019,0.3123,0.7566
Agamia_agami,XC75997,0.3842,54.7831,264.151,2056.604,0.0,54.3989,-54.7831
Agamia_agami,XC75995,1.4514,12.5863,2475.645,17948.424,24.4923,11.1349,11.906
Agamia_agami,XC11402,2.3339,3.2932,69.399,1896.914,3.8871,0.9593,0.5939
Agelaioides_badius,XC13911,0.41,0.659,3001.596,8225.528,2.9429,0.249,2.2839
Agelaioides_badius,XC15608,6.0787,6.3597,2574.331,11997.355,6.5839,0.281,0.2242
Agelaioides_badius,XC107073,10.2454,16.659,2672.864,14704.372,25.6544,6.4136,8.9954
Agelaioides_badius,XC107883,0.8422,1.1214,2878.469,8053.901,4.9089,0.2792,3.7875
Agelaioides_badius,XC171663,0.5124,0.7454,2088.685,5370.903,16.46,0.233,15.7146
Agelasticus_cyanopus,XC1025220,5.0792,6.3797,2657.583,4802.631,27.491,1.3005,21.1113
Agelasticus_cyanopus,XC1012163,7.6872,9.227,2389.655,14772.414,10.6804,1.5398,1.4534
Agelasticus_cyanopus,XC2775,0.2685,1.3701,1904.117,12307.19,17.7701,1.1016,16.4
Agelasticus_cyanopus,XC2774,0.3273,1.5403,2486.385,15229.107,9.1335,1.213,7.5932
Agelasticus_cyanopus,XC347857,1.2382,1.2915,607.469,14629.879,14.6736,0.0533,13.3821
Alectrurus_risora,XC45200,9.2166,12.4033,384.032,2265.79,14.6961,3.1867,2.2928
Alectrurus_risora,XC70492,0.2969,0.9583,1881.757,2457.806,0.0,0.6614,-0.9583
Alectrurus_risora,XC389783,1.3863,6.967,266.538,2132.308,10.2728,5.5807,3.3058
Alectrurus_tricolor,XC944573,30.244,32.8752,225.0,9337.5,40.7924,2.6312,7.9172
Alectrurus_tricolor,XC944569,2.4925,2.7743,705.087,9294.331,7.6336,702.5945,4.8593
Alectrurus_tricolor,XC209629,0.5406,0.7407,3073.892,6029.557,0.0,0.2001,-0.7407
Alectrurus_tricolor,XC836138,4.1326,4.2371,1243.51,4113.149,0.0,0.1045,-4.2371
Alectrurus_tricolor,XC836142,15.8349,16.3905,280.892,10006.768,24.933,0.5556,8.5425
Alipiopsitta_xanthops,XC11367,0.3469,5.0544,823.846,15604.615,5.4013,4.7075,0.3469
Alipiopsitta_xanthops,XC118838,0.4104,0.6286,903.072,8503.925,17.0875,0.2182,16.4589
Alipiopsitta_xanthops,XC173418,0.0,15.7613,1088.544,9294.494,16.1635,15.7613,0.4022
Alipiopsitta_xanthops,XC286594,6.5588,7.2587,685.679,15027.805,8.583,0.6999,1.3243
Alipiopsitta_xanthops,XC299160,1.2636,7.173,975.824,11578.022,8.8824,5.9094,1.7094
Alopochelidon_fucata,XC21609,4.3859,4.9349,1806.565,5668.637,8.0276,0.549,3.0927
Alopochelidon_fucata,XC22285,0.3626,2.6056,4336.922,6867.584,3.2597,2.243,0.6541
Alopochelidon_fucata,XC151133,0.4011,1.4975,2377.138,5342.511,1.9891,1.0964,0.4916
Alopochelidon_fucata,XC230000,0.4668,1.176,2226.724,8689.655,1.5719,0.7092,0.3959
Alopochelidon_fucata,XC230001,0.3144,0.9253,2934.983,6130.493,1.5029,0.6109,0.5776
Amaurospiza_moesta,XC1014670,0.2954,1.3818,2449.36,6094.24,5.0562,1.0864,3.6744
Amaurospiza_moesta,XC154389,3.4327,4.6341,2979.984,5374.615,6.0345,1.2014,1.4004
Amaurospiza_moesta,XC119060,4.902,6.2217,2661.207,8255.172,8.9019,1.3197,2.6802
Amaurospiza_moesta,XC112527,1.5614,3.0049,2603.69,18632.657,13.4789,1.4435,10.474
Amaurospiza_moesta,XC154373,1.4305,4.0579,1694.75,5214.617,8.8424,2.6274,4.7845
Amazona_aestiva,XC1000968,16.354,19.466,537.645,5746.081,22.2605,3.112,2.7945
Amazona_aestiva,XC1023532,4.7078,6.2994,788.152,15386.1,12.6232,1.5916,6.3238
Amazona_aestiva,XC1050642,4.7358,12.7169,632.874,8745.163,13.7198,7.9811,1.0029
Amazona_aestiva,XC1050643,10.0832,11.6053,630.0,6106.154,11.9832,1.5221,0.3779
Amazona_aestiva,XC108617,6.2027,9.6639,549.533,11814.953,24.1255,3.4612,14.4616
Amazona_amazonica,XC100686,14.5684,17.6988,815.559,4233.965,26.3298,3.1304,8.631
Amazona_amazonica,XC1019628,15.9364,18.8203,816.458,5162.118,20.1747,2.8839,1.3544
Amazona_amazonica,XC1032337,0.4735,1.5088,472.906,8689.655,1.7297,1.0353,0.2209
Amazona_amazonica,XC1033826,0.1646,3.387,1023.75,6142.5,4.0963,3.2224,0.7093
Amazona_amazonica,XC1033827,0.0319,1.301,658.209,13081.903,1.618,1.2691,0.317
Amazonetta_brasiliensis,XC123179,0.349,1.8585,2573.015,5069.224,3.3723,1.5095,1.5138
Amazonetta_brasiliensis,XC178246,3.0049,14.9528,2147.727,6385.909,16.5456,11.9479,1.5928
Amazonetta_brasiliensis,XC14483,11.719,13.9953,3302.154,7189.499,14.9185,2.2763,0.9232
Amazonetta_brasiliensis,XC123178,1.3075,1.5577,1267.306,5837.288,2.7278,0.2502,1.1701
Amazonetta_brasiliensis,XC1082194,1.1029,2.4943,2734.884,21109.884,15.1489,1.3914,12.6546
Amblyramphus_holosericeus,XC116262,1.4188,2.0427,1230.769,21802.198,8.8395,0.6239,6.7968
Amblyramphus_holosericeus,XC117992,6.3893,7.4149,959.49,20697.559,8.5959,1.0256,1.181
Amblyramphus_holosericeus,XC123598,4.132,4.1941,1170.384,8067.287,5.2278,0.0621,1.0337
Amblyramphus_holosericeus,XC13931,0.9027,1.5751,2530.351,8051.118,7.4663,0.6724,5.8912
Amblyramphus_holosericeus,XC13932,0.9235,0.9865,1418.719,8571.429,2.1224,0.063,1.1359
Ammodramus_humeralis,XC1003788,0.8219,2.9143,3258.621,20420.69,16.1086,2.0924,13.1943
Ammodramus_humeralis,XC1009532,1.0951,3.3986,3315.575,10851.344,13.1029,2.3035,9.7043
Ammodramus_humeralis,XC1019659,1.2008,1.6426,2790.447,3118.734,1.8097,0.4418,0.1671
Ammodramus_humeralis,XC103909,1.1097,2.5793,2989.011,8474.725,3.4673,1.4696,0.888
Ammodramus_humeralis,XC106444,1.0356,1.0537,8190.0,11679.231,2.0586,0.0181,1.0049
Anas_bahamensis,XC691740,0.0976,1.1919,342.155,9504.31,2.507,1.0943,1.3151
Anas_bahamensis,XC30858,1.6418,4.2724,1017.692,15168.462,8.984,2.6306,4.7116
Anas_bahamensis,XC602244,0.1502,11.0077,436.154,10516.154,11.812,10.8575,0.8043
Anas_bahamensis,XC257281,2.0573,3.7967,848.077,10558.558,7.0629,1.7394,3.2662
Anas_bahamensis,XC257283,8.0113,8.5281,3154.646,8032.965,14.1812,0.5168,5.6531
Anhima_cornuta,XC1005734,4.0431,4.1874,290.341,2858.473,0.0,0.1443,-4.1874
Anhima_cornuta,XC1059033,14.8908,22.0798,339.231,8383.846,35.3067,7.189,13.2269
Anhima_cornuta,XC106243,4.7327,4.8682,181.577,502.829,7.2737,0.1355,2.4055
Anhima_cornuta,XC108618,0.7009,26.5487,265.573,2390.157,0.0,25.8478,-26.5487
Anhima_cornuta,XC108975,7.8822,12.4573,72.818,569.697,23.0545,4.5751,10.5972
Anhinga_anhinga,XC1028752,2.3344,4.4298,312.877,4979.959,12.1869,2.0954,7.7571
Anhinga_anhinga,XC108819,0.8652,1.7164,322.388,8453.731,17.1428,0.8512,15.4264
Anhinga_anhinga,XC130401,0.2988,0.7208,1453.846,4603.846,1.087,0.422,0.3662
Anhinga_anhinga,XC139949,1.9736,2.7129,727.31,3002.484,6.8112,0.7393,4.0983
Anhinga_anhinga,XC14935,2.1319,3.2037,965.431,2413.577,30.7136,1.0718,27.5099
Anodorhynchus_hyacinthinus,XC115387,1.1716,1.6327,455.586,13268.93,2.0232,0.4611,0.3905
Anodorhynchus_hyacinthinus,XC118933,1.2141,1.9461,702.483,2724.265,7.9629,0.732,6.0168
Anodorhynchus_hyacinthinus,XC115383,2.0994,4.7761,752.613,12376.307,5.0161,2.6767,0.24
Anodorhynchus_hyacinthinus,XC103521,1.8904,3.6862,630.0,4943.077,4.3006,1.7958,0.6144
Anodorhynchus_hyacinthinus,XC115385,1.3413,1.7993,489.796,6040.816,2.748,0.458,0.9487
Anthracothorax_nigricollis,XC1011390,0.4149,0.4564,3461.016,12747.503,1.1176,0.0415,0.6612
Anthracothorax_nigricollis,XC115488,1.4682,3.7299,4313.077,10710.0,5.5751,2.2617,1.8452
Anthracothorax_nigricollis,XC14587,7.7022,7.9391,2022.132,16070.631,8.7643,0.2369,0.8252
Anthracothorax_nigricollis,XC170424,0.4923,0.6103,2762.308,18609.231,1.07,0.118,0.4597
Anthracothorax_nigricollis,XC244180,0.545,1.2003,4458.462,10855.385,2.1021,0.6553,0.9018
Anthus_lutescens,XC11828,3.6549,5.2193,3828.462,21323.077,19.6768,1.5644,14.4575
Anthus_lutescens,XC1000548,2.8412,4.9388,2568.462,15556.154,0.0,2.0976,-4.9388
Anthus_lutescens,XC1018610,2.555,4.7785,2109.89,15718.681,13.0184,2.2235,8.2399
Anthus_lutescens,XC10261,1.0219,1.4932,4022.308,15507.692,3.2405,0.4713,1.7473
Anthus_lutescens,XC1046267,2.9522,5.2937,2004.396,8703.297,13.7264,2.3415,8.4327
Antilophia_galeata,XC119049,7.1035,8.5018,1356.923,20014.615,16.2905,1.3983,7.7887
Antilophia_galeata,XC123221,0.9526,2.2302,1507.769,11239.734,16.5379,1.2776,14.3077
Antilophia_galeata,XC100826,3.6438,5.113,920.769,5136.923,11.0136,1.4692,5.9006
Antilophia_galeata,XC1008352,6.5292,8.0465,1160.44,16931.868,26.7501,1.5173,18.7036
Antilophia_galeata,XC128570,0.7015,1.9257,1239.56,11208.791,11.8932,1.2242,9.9675
Antrostomus_rufus,XC12887,1.1578,2.0458,726.923,2301.923,2.9793,0.888,0.9335
Antrostomus_rufus,XC1064448,0.1658,1.2039,919.587,2424.366,1.8381,1.0381,0.6342
Antrostomus_rufus,XC1019622,0.3555,1.4437,192.016,2304.193,1.7169,1.0882,0.2732
Antrostomus_rufus,XC1033118,0.3728,1.5518,706.034,1846.552,2.8541,1.179,1.3023
Antrostomus_rufus,XC10105,0.8562,2.2557,582.547,2330.189,5.5982,1.3995,3.3425
Anumbius_annumbi,XC1017629,1.4769,3.0491,2551.394,4450.971,3.3879,1.5722,0.3388
Anumbius_annumbi,XC1082304,11.3657,13.0409,1757.609,15658.696,21.7931,1.6752,8.7522
Anumbius_annumbi,XC158758,1.7017,2.6398,1250.814,8208.469,4.1494,0.9381,1.5096
Anumbius_annumbi,XC164039,1.0822,1.8235,1855.104,4394.829,2.314,0.7413,0.4905
Anumbius_annumbi,XC174659,0.3618,1.2371,2604.223,4277.134,3.4385,0.8753,2.2014
Ara_ararauna,XC1016167,0.8852,4.3495,1053.584,10009.044,8.0032,3.4643,3.6537
Ara_ararauna,XC1028505,3.7286,5.4267,642.434,4351.974,6.9806,1.6981,1.5539
Ara_ararauna,XC1044552,5.0203,5.7899,555.044,3405.955,6.0545,0.7696,0.2646
Ara_ararauna,XC1050444,5.957,6.6181,514.012,4626.11,8.3921,0.6611,1.774
Ara_ararauna,XC106569,2.919,3.3592,1163.93,13061.877,6.0485,0.4402,2.6893
Ara_chloropterus,XC1039997,0.7649,1.0376,394.076,5191.524,3.8619,0.2727,2.8243
Ara_chloropterus,XC1036460,4.6775,4.9607,582.547,6802.095,16.8317,0.2832,11.871
Ara_chloropterus,XC1074917,0.2761,1.574,533.077,6009.231,2.8718,1.2979,1.2978
Ara_chloropterus,XC1031769,4.8526,5.9947,501.099,5142.857,6.3461,1.1421,0.3514
Ara_chloropterus,XC1035445,2.2993,2.8638,1170.623,4034.914,3.3875,0.5645,0.5237
Aramides_cajaneus,XC100,1.7619,32.1159,656.793,3112.63,0.0,30.354,-32.1159
Aramides_cajaneus,XC100319,7.1223,7.3287,363.268,668.875,0.0,0.2064,-7.3287
Aramides_cajaneus,XC1005824,0.0216,2.4686,1505.085,13245.608,2.8081,2.447,0.3395
Aramides_cajaneus,XC1018661,0.1874,14.1887,448.352,9837.363,15.1919,14.0013,1.0032
Aramides_cajaneus,XC1044374,0.4002,21.6107,559.469,14807.282,22.4839,21.2105,0.8732
Aramides_ypecaha,XC118839,3.0666,12.8987,678.462,12842.308,13.4045,9.8321,0.5058
Aramides_ypecaha,XC114217,19.793,24.2251,890.955,2004.648,25.5571,4.4321,1.332
Aramides_ypecaha,XC108583,1.5937,2.1213,882.0,10437.0,2.473,0.5276,0.3517
Aramides_ypecaha,XC1012422,17.262,18.0241,1793.077,16089.231,21.8511,0.7621,3.827
Aramides_ypecaha,XC1074177,3.2486,3.7044,290.769,1623.462,5.8573,0.4558,2.1529
Aramus_guarauna,XC1005799,1.3719,1.4864,630.0,7172.308,2.8213,0.1145,1.3349
Aramus_guarauna,XC1012157,25.8033,26.1756,805.286,5037.32,26.7239,0.3723,0.5483
Aramus_guarauna,XC102269,7.1411,7.8287,945.813,14541.872,8.9396,0.6876,1.1109
Aramus_guarauna,XC102270,12.3564,12.819,919.861,11958.188,13.5321,0.4626,0.7131
Aramus_guarauna,XC102272,4.6184,5.117,845.508,15823.087,5.6072,0.4986,0.4902
Aratinga_nenday,XC1082302,2.9794,4.2752,3049.806,9834.767,4.8034,1.2958,0.5282
Aratinga_nenday,XC1045524,3.4367,4.1202,1585.162,8541.228,9.1651,0.6835,5.0449
Aratinga_nenday,XC1016212,3.8884,4.0684,1543.733,10574.572,4.1713,0.18,0.1029
Aratinga_nenday,XC104190,2.5269,2.6977,1479.452,16849.315,2.979,0.1708,0.2813
Aratinga_nenday,XC104191,1.4596,1.6997,1337.581,9948.261,1.9868,0.2401,0.2871
Ardea_alba,XC1015381,0.8881,1.3805,947.368,8763.158,1.8188,0.4924,0.4383
Ardea_alba,XC1045560,5.9207,6.3807,788.152,17784.823,6.9114,0.46,0.5307
Ardea_alba,XC1045561,5.5893,6.0713,908.088,7161.904,6.905,0.482,0.8337
Ardea_alba,XC109029,29.4791,34.4063,1347.368,6484.211,34.7224,4.9272,0.3161
Ardea_alba,XC109030,0.8088,24.0613,1398.058,5825.243,0.0,23.2525,-24.0613
Ardea_cocoi,XC1047708,0.2909,0.694,614.451,9408.787,1.0819,0.4031,0.3879
Ardea_cocoi,XC147638,3.2531,4.6306,579.421,7005.732,4.9407,1.3775,0.3101
Ardea_cocoi,XC219035,1.8917,2.0792,652.367,5153.698,2.6177,0.1875,0.5385
Ardea_cocoi,XC2331,1.6439,1.7981,274.861,8184.765,2.3152,0.1542,0.5171
Ardea_cocoi,XC257304,3.0308,3.3341,614.451,7296.61,3.6311,0.3033,0.297
Arenaria_interpres,XC1027223,1.1998,1.308,2147.618,2781.165,5.5162,0.1082,4.2082
Arenaria_interpres,XC1025129,9.4252,9.5053,1962.692,2616.923,13.9852,0.0801,4.4799
Arenaria_interpres,XC1011503,3.0329,3.3043,2112.177,3225.87,4.9403,0.2714,1.636
Arenaria_interpres,XC1000303,0.6801,0.832,839.204,4121.422,1.8999,0.1519,1.0679
Arenaria_interpres,XC1003017,1.8274,2.5164,799.615,9546.923,4.8199,0.689,2.3035
Arremon_flavirostris,XC1067632,9.397,10.7108,6138.064,20165.999,16.4536,1.3138,5.7428
Arremon_flavirostris,XC1074982,1.6751,3.4559,5342.952,11025.909,8.2762,1.7808,4.8203
Arremon_flavirostris,XC1075019,3.2808,4.7724,4677.511,10969.878,10.9213,1.4916,6.1489
Arremon_flavirostris,XC108619,1.1988,3.2362,4611.352,16139.496,7.2818,2.0374,4.0456
Arremon_flavirostris,XC116391,0.9978,1.0825,6696.769,22890.176,4.2543,0.0847,3.1718
Arremon_taciturnus,XC100697,1.9535,2.9827,7501.458,12967.892,5.5362,1.0292,2.5535
Arremon_taciturnus,XC10152,5.9476,7.4911,8287.265,11220.023,12.0964,1.5435,4.6053
Arremon_taciturnus,XC102537,0.6613,2.6863,8626.233,14264.294,12.3867,2.025,9.7004
Arremon_taciturnus,XC1025532,2.3568,4.6728,7844.281,30335.658,10.2107,2.316,5.5379
Arremon_taciturnus,XC1035444,0.8526,0.9492,8674.615,14150.769,2.5568,0.0966,1.6076
Arundinicola_leucocephala,XC111440,0.5892,0.8267,2368.032,23783.416,7.3009,0.2375,6.4742
Arundinicola_leucocephala,XC111441,1.7699,2.1853,1793.407,18989.011,3.5442,0.4154,1.3589
Arundinicola_leucocephala,XC1064271,10.5789,10.9311,1850.444,5465.663,12.073,0.3522,1.1419
Arundinicola_leucocephala,XC1064268,0.4913,0.5142,3755.769,4325.192,0.834,0.0229,0.3198
Arundinicola_leucocephala,XC1064267,5.0322,5.0558,2503.387,3926.945,7.2397,0.0236,2.1839
Asemospiza_fuliginosa,XC1017168,0.6895,1.4652,5277.192,9629.163,5.3519,0.7757,3.8867
Asemospiza_fuliginosa,XC1017171,1.4407,2.2425,4855.548,9872.948,13.8235,0.8018,11.581
Asemospiza_fuliginosa,XC10307,1.1634,3.3302,2567.482,10878.636,10.8957,2.1668,7.5655
Asemospiza_fuliginosa,XC107708,0.5751,1.3885,3031.538,19944.615,4.5998,0.8134,3.2113
Asemospiza_fuliginosa,XC116147,7.6582,8.7618,4272.527,18830.769,12.6833,1.1036,3.9215
Asemospiza_obscura,XC1025353,0.5894,1.4165,1790.301,18723.566,2.2841,0.8271,0.8676
Asemospiza_obscura,XC1035891,1.1128,2.1764,3641.858,10527.246,4.159,1.0636,1.9826
Asemospiza_obscura,XC1065430,1.392,1.9121,4699.54,10294.231,3.0703,0.5201,1.1582
Asemospiza_obscura,XC129927,3.8849,4.9557,7172.308,8916.923,10.4367,1.0708,5.481
Asemospiza_obscura,XC13867,2.0429,2.5722,4710.755,9179.037,8.8452,0.5293,6.273
Asio_clamator,XC113780,4.3537,10.6856,464.211,2301.711,0.0,6.3319,-10.6856
Asio_clamator,XC1043000,2.1788,2.7427,290.769,3295.385,10.1053,0.5639,7.3626
Asio_clamator,XC1040539,21.3106,22.0722,1371.429,11103.297,54.3186,0.7616,32.2464
Asio_clamator,XC10246,0.922,2.1207,2365.88,14384.549,10.2438,1.1987,8.1231
Asio_clamator,XC1006636,33.1143,33.4434,152.186,395.193,41.1392,0.3291,7.6958
Asio_flammeus,XC1053181,3.2209,3.3484,549.004,3469.703,4.6273,0.1275,1.2789
Asio_flammeus,XC1054547,3.7509,3.948,896.538,3755.769,5.6439,0.1971,1.6959
Asio_flammeus,XC1055079,2.1778,2.5867,1831.515,4345.358,12.2708,0.4089,9.6841
Asio_flammeus,XC1055127,1.8156,2.1833,775.385,4034.423,12.0272,0.3677,9.8439
Asio_flammeus,XC1055294,1.8982,2.0165,1028.024,3957.894,14.7899,0.1183,12.7734
Asio_stygius,XC1033149,2.3583,2.7323,78.75,587.596,15.8563,0.374,13.124
Asio_stygius,XC1090691,2.612,2.8225,1265.934,13767.033,10.7815,0.2105,7.959
Asio_stygius,XC1090695,2.9255,3.1071,1342.726,17231.648,10.3897,0.1816,7.2826
Asio_stygius,XC127054,3.8606,4.1881,714.808,5015.769,12.0009,0.3275,7.8128
Asio_stygius,XC127056,4.4587,4.8457,411.923,5718.462,0.0,0.387,-4.8457
Athene_cunicularia,XC127417,4.6483,5.8871,719.617,9560.628,7.3831,1.2388,1.496
Athene_cunicularia,XC110789,0.9743,3.6141,1254.902,13427.451,14.1808,2.6398,10.5667
Athene_cunicularia,XC15392,0.8364,2.1359,541.227,3728.455,9.0932,1.2995,6.9573
Athene_cunicularia,XC100721,0.2436,2.8628,1502.308,11388.462,4.4657,2.6192,1.6029
Athene_cunicularia,XC1007847,0.8703,1.8523,496.878,2484.392,7.8939,0.982,6.0416
Attila_bolivianus,XC119212,3.2633,7.319,1524.903,2518.66,19.43,4.0557,12.111
Attila_bolivianus,XC13006,14.0308,19.3404,1505.854,17922.414,23.8389,5.3096,4.4985
Attila_bolivianus,XC14530,10.4214,16.9496,1244.571,9161.423,19.2633,6.5282,2.3137
Attila_bolivianus,XC150509,1.5279,8.1064,876.606,9069.495,14.006,6.5785,5.8996
Attila_bolivianus,XC151889,4.8545,9.9848,1170.384,2967.759,11.6152,5.1303,1.6304
Attila_cinnamomeus,XC1034721,0.7511,1.483,1594.687,2303.437,4.5964,0.7319,3.1134
Attila_cinnamomeus,XC1049229,2.0187,3.7137,1930.07,19766.9,6.2574,1.695,2.5437
Attila_cinnamomeus,XC106251,2.9057,4.3306,1936.113,2878.469,5.8221,1.4249,1.4915
Attila_cinnamomeus,XC106253,1.1588,2.532,1627.705,2552.927,4.6909,1.3732,2.1589
Attila_cinnamomeus,XC11714,2.7978,6.9517,1042.923,13610.15,8.6223,4.1539,1.6706
Attila_phoenicurus,XC144617,1.295,2.3496,1872.34,19319.149,4.2049,1.0546,1.8553
Attila_phoenicurus,XC120534,1.7942,2.4428,1850.912,5190.602,3.7536,0.6486,1.3108
Attila_phoenicurus,XC120638,2.9574,3.9509,1608.791,5432.967,4.7792,0.9935,0.8283
Attila_phoenicurus,XC108777,1.4533,1.6579,1690.735,20288.818,1.9744,0.2046,0.3165
Attila_phoenicurus,XC118491,1.9134,3.002,2132.308,3271.154,4.546,1.0886,1.544
Attila_spadiceus,XC10130,1.5252,5.1272,1574.407,2818.696,9.0469,3.602,3.9197
Attila_spadiceus,XC102688,0.7015,3.3229,1753.003,3375.464,4.4366,2.6214,1.1137
Attila_spadiceus,XC1035109,30.1186,32.4334,1970.38,2878.469,36.1964,2.3148,3.763
Attila_spadiceus,XC1035110,7.9446,10.6166,1683.458,5182.41,15.4444,2.672,4.8278
Attila_spadiceus,XC1035583,0.7087,4.5762,1729.784,2661.207,6.5747,3.8675,1.9985
Bartramia_longicauda,XC13803,0.3804,1.9341,630.0,14926.154,13.8156,1.5537,11.8815
Bartramia_longicauda,XC107462,13.731,15.2257,945.813,4256.158,18.4897,1.4947,3.264
Bartramia_longicauda,XC1043426,3.7233,4.2412,1627.705,2672.864,0.0,0.5179,-4.2412
Bartramia_longicauda,XC104333,6.5251,7.6772,1139.814,3926.026,8.9013,1.1521,1.2241
Bartramia_longicauda,XC104531,0.4993,1.5705,1086.53,4427.609,3.5505,1.0712,1.98
Basileuterus_culicivorus,XC1032297,2.4549,4.2202,3170.325,11487.766,23.6402,1.7653,19.42
Basileuterus_culicivorus,XC1009661,0.7476,1.9243,3840.968,8642.177,4.2386,1.1767,2.3143
Basileuterus_culicivorus,XC1017639,0.5951,0.8229,2073.774,7527.03,1.5061,0.2278,0.6832
Basileuterus_culicivorus,XC1018790,0.5754,0.8038,2180.769,16913.077,2.7831,0.2284,1.9793
Basileuterus_culicivorus,XC1035011,1.0178,1.1342,5345.727,7059.101,2.9954,0.1164,1.8612
Botaurus_pinnatus,XC451894,1.4292,1.5773,77.102,325.541,3.0733,0.1481,1.496
Botaurus_pinnatus,XC44441,3.6094,3.9542,42.404,284.712,7.062,0.3448,3.1078
Botaurus_pinnatus,XC439759,4.1992,4.7553,39.56,336.264,5.6172,0.5561,0.8619
Botaurus_pinnatus,XC179796,4.3975,4.5875,109.038,387.692,7.6423,0.19,3.0548
Botaurus_pinnatus,XC175736,1.7174,1.8538,1113.101,2623.738,2.0273,0.1364,0.1735
Brachygalba_lugubris,XC1039999,8.9176,9.5037,3295.385,8480.769,13.7769,0.5861,4.2732
Brachygalba_lugubris,XC1040000,1.2639,2.7973,1576.304,9629.163,12.3122,1.5334,9.5149
Brachygalba_lugubris,XC116100,2.6166,4.3989,3198.462,5718.462,4.8422,1.7823,0.4433
Brachygalba_lugubris,XC118841,0.9947,1.6064,2132.308,8335.385,3.6948,0.6117,2.0884
Brachygalba_lugubris,XC127207,3.1176,3.2612,2005.977,5195.48,7.3481,0.1436,4.0869
Brotogeris_chiriri,XC1003149,4.9463,5.5023,2616.102,11959.322,6.7039,0.556,1.2016
Brotogeris_chiriri,XC10109,0.7821,6.8759,969.231,6978.462,7.8209,6.0938,0.945
Brotogeris_chiriri,XC1019092,0.3002,10.9135,1841.538,15410.769,12.6288,10.6133,1.7153
Brotogeris_chiriri,XC1064067,0.1281,18.7053,2012.903,6696.774,0.0,18.5772,-18.7053
Brotogeris_chiriri,XC1074962,1.4055,14.6811,2014.089,4830.083,15.6463,13.2756,0.9652
Bubo_virginianus,XC1047703,0.5559,1.5709,186.49,526.833,2.9001,1.015,1.3292
Bubo_virginianus,XC1040200,1.6474,6.4192,222.234,612.826,15.0159,4.7718,8.5967
Bubo_virginianus,XC1040135,1.7785,3.9949,175.673,478.558,21.4673,2.2164,17.4724
